symbol,filing_date,intim_date,acq_from_date,acq_to_date,person_category,acq_mode,transaction_type,sec_type,security_acquired_disposed,buy_quantity,sell_quantity,buy_value,sell_value,shares_before_no,shares_before_pct,shares_after_no,shares_after_pct
STLTECH,2016-06-02 17:58:00,2016-06-02,2016-06-01,2016-06-01,Director,Market Purchase,Buy,Equity Shares,113500.0,0.0,0.0,0.0,0.0,374640.0,0.09,488140.0,0.12
STLTECH,2016-06-09 17:49:00,2016-06-08,2016-06-07,2016-06-07,Immediate relative,Market Purchase,Buy,Equity Shares,21000.0,0.0,0.0,0.0,0.0,,0.0,21000.0,0.01
STLTECH,2016-06-10 09:11:00,2016-06-09,2016-06-08,2016-06-08,Promoters,Market Purchase,Buy,Equity Shares,47400.0,0.0,0.0,0.0,0.0,642971.0,0.16,690371.0,0.17
STLTECH,2016-06-23 16:37:00,2016-06-21,2016-06-17,2016-06-17,Promoters,Market Purchase,Buy,Equity Shares,96270.0,0.0,0.0,0.0,0.0,654500.0,0.17,750770.0,0.19
STLTECH,2016-06-23 16:37:00,2016-06-23,2016-06-22,2016-06-22,Promoters,Market Purchase,Buy,Equity Shares,3730.0,0.0,0.0,0.0,0.0,750770.0,0.19,754500.0,0.19
STLTECH,2016-07-05 18:18:00,2016-07-01,2016-06-29,2016-06-29,Promoters,Market Purchase,Buy,Equity Shares,110000.0,0.0,0.0,0.0,0.0,754500.0,0.19,864500.0,0.22
STLTECH,2016-08-22 17:59:00,2016-08-22,2016-08-19,2016-08-19,Employees/Designated Employees,Market Purchase,Sell,Equity,20000.0,0.0,0.0,0.0,0.0,49740.0,0.01,29740.0,0.01
STLTECH,2016-08-23 18:07:00,2016-08-23,2016-08-22,2016-08-22,Employees/Designated Employees,Market Sale,Sell,Equity,17700.0,0.0,0.0,0.0,0.0,18600.0,0.0,900.0,0.0
STLTECH,2016-08-25 18:47:00,2016-08-25,2016-08-24,2016-08-24,Promoters,Market Purchase,Buy,Equity,28000.0,0.0,0.0,0.0,0.0,690371.0,0.17,718371.0,0.18
STLTECH,2016-09-16 15:18:00,2016-09-15,2016-09-15,2016-09-15,Employees/Designated Employees,Market Sale,Sell,Equity Shares,30286.0,0.0,0.0,0.0,0.0,30286.0,0.0,,0.0
STLTECH,2016-09-22 11:25:00,2016-09-20,2016-09-19,2016-09-19,Employees/Designated Employees,Market Sale,Sell,Equity Shares,8670.0,0.0,0.0,0.0,0.0,31630.0,0.0,22960.0,0.0
STLTECH,2016-09-22 11:25:00,2016-09-16,2016-09-14,2016-09-14,Employees/Designated Employees,Market Sale,Sell,Equity Shares,10000.0,0.0,0.0,0.0,0.0,41630.0,0.0,31630.0,0.0
STLTECH,2016-10-04 19:38:00,2016-10-03,2016-10-03,2016-10-03,Employees/Designated Employees,Market Sale,Sell,Equity Shares,12320.0,0.0,0.0,0.0,0.0,22960.0,0.0,10640.0,0.0
STLTECH,2016-10-12 12:43:00,2016-10-10,2016-10-06,2016-10-06,Employees/Designated Employees,Market Sale,Sell,Equity Shares,5000.0,0.0,0.0,0.0,0.0,24723.0,0.01,19723.0,0.01
STLTECH,2016-10-12 12:43:00,2016-10-10,2016-10-10,2016-10-10,Employees/Designated Employees,Market Sale,Sell,Equity Shares,9210.0,0.0,0.0,0.0,0.0,24723.0,0.01,15513.0,0.0
STLTECH,2016-10-12 12:43:00,2016-10-10,2016-10-07,2016-10-07,Employees/Designated Employees,Market Sale,Sell,Equity Shares,1000.0,0.0,0.0,0.0,0.0,24723.0,0.01,23723.0,0.01
STLTECH,2016-10-12 12:43:00,2016-10-10,2016-10-05,2016-10-05,Employees/Designated Employees,Market Sale,Sell,Equity Shares,1000.0,0.0,0.0,0.0,0.0,24723.0,0.01,23723.0,0.01
STLTECH,2016-11-11 19:30:00,2016-11-11,2016-11-09,2016-11-09,Employees/Designated Employees,Market Sale,Sell,Equity Shares,10000.0,0.0,0.0,0.0,0.0,42235.0,0.01,32235.0,0.01
STLTECH,2016-11-11 19:30:00,2016-11-11,2016-10-17,2016-10-17,Employees/Designated Employees,Market Sale,Sell,Equity Shares,515.0,0.0,0.0,0.0,0.0,42750.0,0.01,42235.0,0.01
STLTECH,2016-11-11 19:30:00,2016-11-11,2016-10-17,2016-10-17,Employees/Designated Employees,Market Sale,Sell,Equity Shares,2500.0,0.0,0.0,0.0,0.0,45250.0,0.01,42750.0,0.01
STLTECH,2016-11-11 19:30:00,2016-11-11,2016-10-17,2016-10-17,Employees/Designated Employees,Market Sale,Sell,Equity Shares,5000.0,0.0,0.0,0.0,0.0,50250.0,0.01,45250.0,0.01
STLTECH,2016-11-22 14:29:00,2016-11-22,2016-11-21,2016-11-21,Promoters,Market Purchase,Buy,Equity Shares,212000.0,0.0,0.0,0.0,0.0,864500.0,0.19,1076500.0,0.27
STLTECH,2016-12-06 15:09:00,2016-12-05,2016-12-02,2016-12-02,Promoters,Market Purchase,Buy,Equity Shares,210000.0,0.0,0.0,0.0,0.0,1076500.0,0.27,1286500.0,0.32
STLTECH,2017-02-02 17:45:00,2017-02-01,2017-01-25,2017-02-01,Employees/Designated Employees,Market Sale,Sell,Equity Shares,10000.0,0.0,0.0,0.0,0.0,29300.0,0.0,19300.0,0.0
STLTECH,2017-02-10 12:09:00,2017-02-10,2017-02-09,2017-02-09,Promoter Group,Market Sale,Sell,Equity Shares,58000.0,0.0,0.0,0.0,0.0,488140.0,0.12,430140.0,0.1
STLTECH,2017-05-11 18:06:00,2017-05-11,2017-05-10,2017-05-10,Promoters,Market Purchase,Buy,Equity Shares,21000.0,0.0,0.0,0.0,0.0,718371.0,0.18,739371.0,0.19
STLTECH,2017-06-26 11:58:00,2017-06-23,2017-06-21,2017-06-21,Employees/Designated Employees,ESOP,Sell,Equity Shares,15600.0,0.0,0.0,0.0,0.0,96400.0,0.02,80800.0,0.02
STLTECH,2017-07-21 11:39:00,2017-07-20,2017-07-20,2017-07-20,Employees/Designated Employees,Market Sale,Sell,Equity Shares,7878.0,0.0,0.0,0.0,0.0,7878.0,0.002,,0.0
STLTECH,2017-07-26 11:21:00,2017-07-25,2017-07-25,2017-07-25,Other,ESOP,Sell,Equity Shares,26944.0,0.0,0.0,0.0,0.0,26944.0,0.0,,0.0
STLTECH,2017-07-31 11:31:00,2017-07-28,2017-07-24,2017-07-24,Employees/Designated Employees,Market Sale,Sell,Equity Shares,5000.0,0.0,0.0,0.0,0.0,41560.0,0.01,36560.0,0.0
STLTECH,2017-08-01 15:20:00,2017-08-01,2017-07-31,2017-07-31,Promoters,Market Purchase,Buy,Equity Shares,46500.0,0.0,0.0,0.0,0.0,1286500.0,0.32,1333000.0,0.33
STLTECH,2017-08-01 15:20:00,2017-08-01,2017-07-31,2017-07-31,Promoters,Market Purchase,Buy,Equity Shares,25000.0,0.0,0.0,0.0,0.0,739371.0,0.19,764371.0,0.19
STLTECH,2017-08-04 17:55:00,2017-08-03,2017-08-01,2017-08-01,Employees/Designated Employees,Market Sale,Sell,Equity Shares,5000.0,0.0,0.0,0.0,0.0,19836.0,0.0,14836.0,0.0
STLTECH,2017-08-04 17:55:00,2017-08-03,2017-08-02,2017-08-02,Employees/Designated Employees,Market Sale,Sell,Equity Shares,7000.0,0.0,0.0,0.0,0.0,14836.0,0.0,7836.0,0.0
STLTECH,2017-08-24 18:13:00,2017-08-24,2017-08-23,2017-08-23,Promoters,Market Purchase,Buy,Equity Shares,13800.0,0.0,0.0,0.0,0.0,764371.0,0.19,778171.0,0.19
STLTECH,2017-08-30 15:14:00,2017-08-30,2017-08-28,2017-08-28,Employees/Designated Employees,Market Sale,Sell,Equity Shares,10000.0,0.0,0.0,0.0,0.0,66270.0,0.01,56270.0,0.01
STLTECH,2017-08-31 15:52:00,2017-08-31,2017-08-31,2017-08-31,Other,Market Sale,Sell,Equity Shares,5000.0,0.0,0.0,0.0,0.0,31100.0,0.0,26100.0,0.0
STLTECH,2017-09-04 16:02:00,2017-09-04,2017-09-01,2017-09-01,Employees/Designated Employees,Market Sale,Sell,Equity Shares,5000.0,0.0,0.0,0.0,0.0,56270.0,0.01,51270.0,0.01
STLTECH,2017-09-21 17:17:00,2017-09-21,2017-09-20,2017-09-20,Promoters,Pledge Creation,Pledge,Equity Shares,77900000.0,0.0,0.0,0.0,0.0,209402750.0,52.31,209402750.0,52.31
STLTECH,2017-10-17 11:30:00,2017-10-16,2017-10-11,2017-10-11,Employees/Designated Employees,Market Sale,Sell,Equity Shares,1700.0,0.0,0.0,0.0,0.0,3965.0,0.0,2265.0,0.0
STLTECH,2017-10-17 11:30:00,2017-10-16,2017-10-10,2017-10-10,Employees/Designated Employees,Market Purchase,Buy,Equity Shares,3220.0,0.0,0.0,0.0,0.0,4666.0,0.0,7886.0,0.0
STLTECH,2017-10-17 11:30:00,2017-10-16,2017-10-09,2017-10-09,Employees/Designated Employees,Market Purchase,Buy,Equity Shares,2400.0,0.0,0.0,0.0,0.0,2266.0,0.0,4666.0,0.0
STLTECH,2017-10-17 11:30:00,2017-10-16,2017-10-06,2017-10-06,Employees/Designated Employees,Market Purchase,Buy,Equity Shares,1200.0,0.0,0.0,0.0,0.0,1066.0,0.0,2266.0,0.0
STLTECH,2017-10-17 11:30:00,2017-10-16,2017-10-05,2017-10-05,Employees/Designated Employees,Market Sale,Sell,Equity Shares,1200.0,0.0,0.0,0.0,0.0,2266.0,0.0,1066.0,0.0
STLTECH,2017-10-17 11:30:00,2017-10-16,2017-10-05,2017-10-05,Employees/Designated Employees,Market Purchase,Buy,Equity Shares,2266.0,0.0,0.0,0.0,0.0,,0.0,2266.0,0.0
STLTECH,2017-10-17 11:30:00,2017-10-16,2017-10-04,2017-10-04,Employees/Designated Employees,Market Sale,Sell,Equity Shares,2400.0,0.0,0.0,0.0,0.0,2400.0,0.0,,0.0
STLTECH,2017-10-17 11:30:00,2017-10-16,2017-10-04,2017-10-04,Employees/Designated Employees,Market Purchase,Buy,Equity Shares,2400.0,0.0,0.0,0.0,0.0,,0.0,2400.0,0.0
STLTECH,2017-10-17 11:30:00,2017-10-16,2017-10-03,2017-10-03,Employees/Designated Employees,Market Sale,Sell,Equity Shares,1200.0,0.0,0.0,0.0,0.0,1200.0,0.0,,0.0
STLTECH,2017-10-17 11:30:00,2017-10-16,2017-10-03,2017-10-03,Employees/Designated Employees,Market Purchase,Buy,Equity Shares,1200.0,0.0,0.0,0.0,0.0,,0.0,1200.0,0.0
STLTECH,2017-10-17 11:30:00,2017-10-16,2017-09-28,2017-09-28,Employees/Designated Employees,Market Sale,Sell,Equity Shares,1350.0,0.0,0.0,0.0,0.0,1350.0,0.0,,0.0
STLTECH,2017-10-17 11:30:00,2017-10-16,2017-09-28,2017-09-28,Employees/Designated Employees,Market Purchase,Buy,Equity Shares,1350.0,0.0,0.0,0.0,0.0,,0.0,1350.0,0.0
STLTECH,2017-10-17 11:30:00,2017-10-16,2017-09-26,2017-09-26,Employees/Designated Employees,Market Sale,Sell,Equity Shares,1201.0,0.0,0.0,0.0,0.0,1201.0,0.0,,0.0
STLTECH,2017-10-17 11:30:00,2017-10-16,2017-09-25,2017-09-25,Employees/Designated Employees,Market Sale,Sell,Equity Shares,70.0,0.0,0.0,0.0,0.0,1271.0,0.0,1201.0,0.0
STLTECH,2017-10-17 11:30:00,2017-10-16,2017-09-25,2017-09-25,Employees/Designated Employees,Market Purchase,Buy,Equity Shares,70.0,0.0,0.0,0.0,0.0,1201.0,0.0,1271.0,0.0
STLTECH,2017-10-17 11:30:00,2017-10-16,2017-09-22,2017-09-22,Employees/Designated Employees,Market Purchase,Buy,Equity Shares,1201.0,0.0,0.0,0.0,0.0,,0.0,1201.0,0.0
STLTECH,2017-10-17 11:30:00,2017-10-16,2017-10-11,2017-10-11,Employees/Designated Employees,Market Purchase,Buy,Equity Shares,2020.0,0.0,0.0,0.0,0.0,7886.0,0.0,9906.0,0.0
STLTECH,2017-10-17 11:30:00,2017-10-16,2017-10-06,2017-10-06,Employees/Designated Employees,Market Sale,Sell,Equity Shares,1240.0,0.0,0.0,0.0,0.0,9906.0,0.0,8666.0,0.0
STLTECH,2017-10-17 11:30:00,2017-10-16,2017-10-09,2017-10-09,Employees/Designated Employees,Market Sale,Sell,Equity Shares,2226.0,0.0,0.0,0.0,0.0,8666.0,0.0,6440.0,0.0
STLTECH,2017-10-17 11:30:00,2017-10-16,2017-10-10,2017-10-10,Employees/Designated Employees,Market Sale,Sell,Equity Shares,4420.0,0.0,0.0,0.0,0.0,6440.0,0.0,2020.0,0.0
STLTECH,2017-10-17 11:30:00,2017-10-16,2017-10-12,2017-10-12,Employees/Designated Employees,Market Sale,Sell,Equity Shares,1000.0,0.0,0.0,0.0,0.0,1000.0,0.0,,0.0
STLTECH,2017-10-17 11:30:00,2017-10-16,2017-09-08,2017-09-08,Employees/Designated Employees,Market Sale,Sell,Equity Shares,2100.0,0.0,0.0,0.0,0.0,2100.0,0.0,,0.0
STLTECH,2017-10-17 11:30:00,2017-10-16,2017-09-11,2017-09-11,Employees/Designated Employees,Market Purchase,Buy,Equity Shares,2000.0,0.0,0.0,0.0,0.0,,0.0,2000.0,0.0
STLTECH,2017-10-17 11:30:00,2017-10-16,2017-09-27,2017-09-27,Employees/Designated Employees,Market Sale,Sell,Equity Shares,235.0,0.0,0.0,0.0,0.0,2000.0,0.0,1765.0,0.0
STLTECH,2017-10-17 11:30:00,2017-10-16,2017-09-27,2017-09-27,Employees/Designated Employees,Market Purchase,Buy,Equity Shares,800.0,0.0,0.0,0.0,0.0,1765.0,0.0,2565.0,0.0
STLTECH,2017-10-17 11:30:00,2017-10-16,2017-10-10,2017-10-10,Employees/Designated Employees,Market Purchase,Buy,Equity Shares,2000.0,0.0,0.0,0.0,0.0,2565.0,0.0,4565.0,0.0
STLTECH,2017-10-17 11:30:00,2017-10-16,2017-10-10,2017-10-10,Employees/Designated Employees,Market Sale,Sell,Equity Shares,4000.0,0.0,0.0,0.0,0.0,4565.0,0.0,565.0,0.0
STLTECH,2017-10-17 11:30:00,2017-10-16,2017-10-11,2017-10-11,Employees/Designated Employees,Market Purchase,Buy,Equity Shares,3400.0,0.0,0.0,0.0,0.0,565.0,0.0,3965.0,0.0
STLTECH,2017-10-17 11:30:00,2017-10-16,2017-10-11,2017-10-11,Employees/Designated Employees,Market Sale,Sell,Equity Shares,1020.0,0.0,0.0,0.0,0.0,2020.0,0.0,1000.0,0.0
STLTECH,2017-10-17 11:30:00,2017-10-16,2017-09-20,2017-09-20,Employees/Designated Employees,Market Sale,Sell,Equity Shares,1200.0,0.0,0.0,0.0,0.0,1200.0,0.0,,0.0
STLTECH,2017-10-24 17:51:00,2017-10-24,2017-10-23,2017-10-23,Promoter Group,Market Purchase,Buy,Equity Shares,15250.0,0.0,0.0,0.0,0.0,778171.0,0.19,793421.0,0.2
STLTECH,2017-10-26 10:36:00,2017-10-25,2017-10-24,2017-10-24,Promoter Group,Market Sale,Sell,Equity Shares,39000.0,0.0,0.0,0.0,0.0,430140.0,0.11,391140.0,0.1
STLTECH,2017-10-27 15:29:00,2017-10-27,2017-10-26,2017-10-26,Promoter Group,Market Purchase,Buy,Equity Shares,13000.0,0.0,0.0,0.0,0.0,50000.0,0.01,63000.0,0.02
STLTECH,2017-11-01 12:58:00,2017-11-01,2017-10-31,2017-10-31,Promoter Group,Market Sale,Sell,Equity Shares,36250.0,0.0,0.0,0.0,0.0,317890.0,0.08,281640.0,0.07
STLTECH,2017-11-01 12:58:00,2017-11-01,2017-10-30,2017-10-30,Promoter Group,Market Sale,Sell,Equity Shares,73250.0,0.0,0.0,0.0,0.0,391140.0,0.1,317890.0,0.08
STLTECH,2017-11-23 18:53:00,2017-11-22,2017-11-20,2017-11-20,Employees/Designated Employees,Market Sale,Sell,Equity Shares,95770.0,0.0,0.0,0.0,0.0,95770.0,0.02,,0.0
STLTECH,2017-11-23 18:53:00,2017-11-22,2017-11-20,2017-11-20,Employees/Designated Employees,Market Sale,Sell,Equity Shares,1900.0,0.0,0.0,0.0,0.0,11900.0,0.0,10000.0,0.0
STLTECH,2017-11-23 18:53:00,2017-11-22,2017-10-24,2017-10-24,Employees/Designated Employees,Market Sale,Sell,Equity Shares,3100.0,0.0,0.0,0.0,0.0,15000.0,0.0,11900.0,0.0
STLTECH,2017-12-11 11:00:00,2017-12-08,2017-12-07,2017-12-07,Employees/Designated Employees,Market Sale,Sell,Equity Shares,4300.0,0.0,0.0,0.0,0.0,10000.0,0.0,5700.0,0.0
STLTECH,2017-12-15 16:08:00,2017-12-15,2017-12-14,2017-12-14,Promoter Group,Market Sale,Sell,Equity Shares,33300.0,0.0,0.0,0.0,0.0,281640.0,0.07,248340.0,0.06
STLTECH,2017-12-18 14:46:00,2017-12-14,2017-12-11,2017-12-11,Director,Market Purchase,Buy,Equity Shares,3420.0,0.0,0.0,0.0,0.0,,0.0,3420.0,0.0
STLTECH,2017-12-28 15:24:00,2017-12-28,2017-12-26,2017-12-26,Employees/Designated Employees,Market Sale,Sell,Equity Shares,5000.0,0.0,0.0,0.0,0.0,17000.0,0.0,12000.0,0.0
STLTECH,2018-01-11 17:54:00,2018-01-11,2018-01-01,2018-01-01,Employees/Designated Employees,Market Sale,Sell,Equity Shares,5000.0,0.0,0.0,0.0,0.0,59620.0,0.01,54620.0,0.01
STLTECH,2018-01-24 12:15:00,2018-01-23,2018-01-23,2018-01-23,Director,Market Sale,Sell,Equity Shares,20721.0,0.0,0.0,0.0,0.0,139061.0,0.03,118340.0,0.03
STLTECH,2018-01-24 12:15:00,2018-01-23,2018-01-22,2018-01-22,Director,Market Sale,Sell,Equity Shares,79244.0,0.0,0.0,0.0,0.0,218305.0,0.05,139061.0,0.03
STLTECH,2018-01-24 12:15:00,2018-01-23,2018-01-22,2018-01-22,Director,Market Sale,Sell,Equity Shares,30035.0,0.0,0.0,0.0,0.0,248340.0,0.06,218305.0,0.05
STLTECH,2018-02-09 17:02:00,2018-02-07,2018-02-06,2018-02-06,Immediate relative,Market Purchase,Buy,Equity Shares,1800.0,0.0,0.0,0.0,0.0,1000.0,0.0,2800.0,0.0
STLTECH,2018-02-09 17:02:00,2018-02-07,2018-02-06,2018-02-06,Immediate relative,Market Purchase,Buy,Equity Shares,2000.0,0.0,0.0,0.0,0.0,6010.0,0.0,8010.0,0.0
STLTECH,2018-02-09 17:02:00,2018-02-07,2018-02-05,2018-02-05,Immediate relative,Market Purchase,Buy,Equity Shares,800.0,0.0,0.0,0.0,0.0,5210.0,0.0,6010.0,0.0
STLTECH,2018-02-09 17:02:00,2018-02-07,2018-02-07,2018-02-07,Promoters,Market Sale,Sell,Equity Shares,50000.0,0.0,0.0,0.0,0.0,1233000.0,0.31,1183000.0,0.3
STLTECH,2018-02-09 17:02:00,2018-02-07,2018-02-05,2018-02-05,Promoters,Market Sale,Sell,Equity Shares,100000.0,0.0,0.0,0.0,0.0,1333000.0,0.33,1233000.0,0.31
STLTECH,2018-02-09 17:02:00,2018-02-07,2018-02-05,2018-02-05,Employees/Designated Employees,Market Purchase,Buy,Equity Shares,1000.0,0.0,0.0,0.0,0.0,78905.0,0.02,79905.0,0.02
STLTECH,2018-02-13 16:45:00,2018-02-11,2018-02-08,2018-02-08,Immediate relative,Market Purchase,Buy,Equity Shares,250.0,0.0,0.0,0.0,0.0,8010.0,0.0,8260.0,0.0
STLTECH,2018-02-13 16:45:00,2018-02-13,2018-02-12,2018-02-12,Promoters,Market Sale,Sell,Equity Shares,53250.0,0.0,0.0,0.0,0.0,1183000.0,0.3,1129750.0,0.28
STLTECH,2018-02-13 16:45:00,2018-02-11,2018-02-08,2018-02-08,Immediate relative,Market Purchase,Buy,Equity Shares,250.0,0.0,0.0,0.0,0.0,2800.0,0.0,3050.0,0.0
STLTECH,2018-02-20 15:00:00,2018-02-19,2018-02-16,2018-02-16,Immediate relative,Market Purchase,Buy,Equity Shares,2000.0,0.0,0.0,0.0,0.0,8260.0,0.0,10260.0,0.0
STLTECH,2018-02-20 15:00:00,2018-02-19,2018-02-16,2018-02-16,Immediate relative,Market Purchase,Buy,Equity Shares,2000.0,0.0,0.0,0.0,0.0,3050.0,0.0,5050.0,0.0
STLTECH,2018-03-01 11:47:00,2018-02-27,2018-02-06,2018-02-06,Employees/Designated Employees,Market Purchase,Buy,Equity Shares,500.0,0.0,0.0,0.0,0.0,,0.0,500.0,0.0
STLTECH,2018-03-01 11:47:00,2018-02-27,2018-02-08,2018-02-08,Employees/Designated Employees,Market Purchase,Buy,Equity Shares,500.0,0.0,0.0,0.0,0.0,500.0,0.0,1000.0,0.0
STLTECH,2018-03-01 11:47:00,2018-02-27,2018-02-12,2018-02-12,Employees/Designated Employees,Market Purchase,Buy,Equity Shares,500.0,0.0,0.0,0.0,0.0,1000.0,0.0,1500.0,0.0
STLTECH,2018-03-01 11:47:00,2018-02-27,2018-02-15,2018-02-15,Employees/Designated Employees,Market Purchase,Buy,Equity Shares,450.0,0.0,0.0,0.0,0.0,1500.0,0.0,1950.0,0.0
STLTECH,2018-03-01 11:47:00,2018-02-27,2018-02-23,2018-02-23,Employees/Designated Employees,Market Purchase,Buy,Equity Shares,400.0,0.0,0.0,0.0,0.0,3150.0,0.0,3550.0,0.0
STLTECH,2018-03-01 11:47:00,2018-02-27,2018-02-23,2018-02-23,Employees/Designated Employees,Market Purchase,Buy,Equity Shares,1200.0,0.0,0.0,0.0,0.0,1950.0,0.0,3150.0,0.0
STLTECH,2018-03-26 16:32:00,2018-03-23,2018-01-25,2018-01-25,Employees/Designated Employees,Market Sale,Sell,Equity Shares,100.0,0.0,0.0,0.0,0.0,65900.0,0.02,65800.0,0.02
STLTECH,2018-03-26 16:32:00,2018-03-23,2018-03-22,2018-03-22,Employees/Designated Employees,Market Sale,Sell,Equity Shares,500.0,0.0,0.0,0.0,0.0,68000.0,0.02,67500.0,0.02
STLTECH,2018-03-26 16:32:00,2018-03-23,2018-03-21,2018-03-21,Employees/Designated Employees,Market Sale,Sell,Equity Shares,1000.0,0.0,0.0,0.0,0.0,69000.0,0.02,68000.0,0.02
STLTECH,2018-03-26 16:32:00,2018-03-23,2018-03-21,2018-03-21,Employees/Designated Employees,Market Sale,Sell,Equity Shares,500.0,0.0,0.0,0.0,0.0,69500.0,0.02,69000.0,0.02
STLTECH,2018-03-26 16:32:00,2018-03-23,2018-03-21,2018-03-21,Employees/Designated Employees,Market Sale,Sell,Equity Shares,500.0,0.0,0.0,0.0,0.0,70000.0,0.02,69500.0,0.02
STLTECH,2018-03-26 16:32:00,2018-03-23,2018-03-16,2018-03-21,Employees/Designated Employees,Market Sale,Sell,Equity Shares,100.0,0.0,0.0,0.0,0.0,70100.0,0.02,70000.0,0.02
STLTECH,2018-03-26 16:32:00,2018-03-23,2018-01-22,2018-01-22,Employees/Designated Employees,Market Sale,Sell,Equity Shares,250.0,0.0,0.0,0.0,0.0,67100.0,0.02,66850.0,0.02
STLTECH,2018-03-26 16:32:00,2018-03-23,2018-01-22,2018-01-22,Employees/Designated Employees,Market Sale,Sell,Equity Shares,250.0,0.0,0.0,0.0,0.0,66850.0,0.02,66600.0,0.02
STLTECH,2018-03-26 16:32:00,2018-03-23,2018-01-23,2018-01-23,Employees/Designated Employees,Market Sale,Sell,Equity Shares,200.0,0.0,0.0,0.0,0.0,66600.0,0.02,66400.0,0.02
STLTECH,2018-03-26 16:32:00,2018-03-23,2018-01-23,2018-01-23,Employees/Designated Employees,Market Sale,Sell,Equity Shares,200.0,0.0,0.0,0.0,0.0,66400.0,0.02,66200.0,0.02
STLTECH,2018-03-26 16:32:00,2018-03-23,2018-01-24,2018-01-24,Employees/Designated Employees,Market Sale,Sell,Equity Shares,100.0,0.0,0.0,0.0,0.0,66200.0,0.02,66100.0,0.02
STLTECH,2018-03-26 16:32:00,2018-03-23,2018-01-24,2018-01-24,Employees/Designated Employees,Market Sale,Sell,Equity Shares,100.0,0.0,0.0,0.0,0.0,66100.0,0.02,66000.0,0.02
STLTECH,2018-03-26 16:32:00,2018-03-23,2018-01-25,2018-01-25,Employees/Designated Employees,Market Sale,Sell,Equity Shares,100.0,0.0,0.0,0.0,0.0,66000.0,0.02,65900.0,0.02
STLTECH,2018-03-26 16:32:00,2018-03-23,2018-03-22,2018-03-22,Employees/Designated Employees,Market Sale,Sell,Equity Shares,500.0,0.0,0.0,0.0,0.0,67500.0,0.02,67000.0,0.02
STLTECH,2018-03-26 16:32:00,2018-03-23,2018-01-30,2018-01-30,Employees/Designated Employees,Market Sale,Sell,Equity Shares,50.0,0.0,0.0,0.0,0.0,65800.0,0.02,65750.0,0.02
STLTECH,2018-03-26 16:32:00,2018-03-23,2018-01-30,2018-01-30,Employees/Designated Employees,Market Sale,Sell,Equity Shares,250.0,0.0,0.0,0.0,0.0,65750.0,0.02,65500.0,0.02
STLTECH,2018-03-26 16:32:00,2018-03-23,2018-01-31,2018-01-31,Employees/Designated Employees,Market Sale,Sell,Equity Shares,100.0,0.0,0.0,0.0,0.0,65500.0,0.02,65400.0,0.02
STLTECH,2018-03-26 16:32:00,2018-03-23,2018-01-31,2018-01-31,Employees/Designated Employees,Market Sale,Sell,Equity Shares,100.0,0.0,0.0,0.0,0.0,65400.0,0.02,65300.0,0.02
STLTECH,2018-03-26 16:32:00,2018-03-23,2018-02-01,2018-02-01,Employees/Designated Employees,Market Sale,Sell,Equity Shares,100.0,0.0,0.0,0.0,0.0,65300.0,0.02,65200.0,0.02
STLTECH,2018-03-26 16:32:00,2018-03-23,2018-02-01,2018-02-01,Employees/Designated Employees,Market Sale,Sell,Equity Shares,100.0,0.0,0.0,0.0,0.0,65200.0,0.02,65100.0,0.02
STLTECH,2018-03-26 16:32:00,2018-03-23,2018-02-07,2018-02-07,Employees/Designated Employees,Market Sale,Sell,Equity Shares,100.0,0.0,0.0,0.0,0.0,65100.0,0.02,65000.0,0.02
STLTECH,2018-03-26 16:32:00,2018-03-23,2018-02-07,2018-02-07,Employees/Designated Employees,Market Sale,Sell,Equity Shares,100.0,0.0,0.0,0.0,0.0,65000.0,0.02,64900.0,0.02
STLTECH,2018-03-26 16:32:00,2018-03-23,2018-02-14,2018-02-14,Employees/Designated Employees,Market Sale,Sell,Equity Shares,100.0,0.0,0.0,0.0,0.0,64900.0,0.02,64800.0,0.02
STLTECH,2018-03-26 16:32:00,2018-03-23,2018-02-14,2018-02-14,Employees/Designated Employees,Market Sale,Sell,Equity Shares,100.0,0.0,0.0,0.0,0.0,64800.0,0.02,64700.0,0.02
STLTECH,2018-03-26 16:32:00,2018-03-23,2018-03-13,2018-03-13,Employees/Designated Employees,Market Sale,Sell,Equity Shares,100.0,0.0,0.0,0.0,0.0,70200.0,0.02,70100.0,0.02
STLTECH,2018-03-29 17:14:00,2018-03-27,2018-03-26,2018-03-26,Employees/Designated Employees,Market Sale,Sell,Equity Shares,3500.0,0.0,0.0,0.0,0.0,4250.0,0.0,750.0,0.0
STLTECH,2018-03-30 14:43:00,2018-03-28,2018-03-27,2018-03-27,Employees/Designated Employees,Market Sale,Sell,Equity Shares,500.0,0.0,0.0,0.0,0.0,66500.0,0.02,66000.0,0.02
STLTECH,2018-03-30 14:43:00,2018-03-28,2018-03-26,2018-03-26,Employees/Designated Employees,Market Sale,Sell,Equity Shares,500.0,0.0,0.0,0.0,0.0,67000.0,0.02,66500.0,0.02
STLTECH,2018-03-30 14:43:00,2018-03-28,2018-03-27,2018-03-27,Employees/Designated Employees,Market Sale,Sell,Equity Shares,500.0,0.0,0.0,0.0,0.0,66000.0,0.02,65500.0,0.02
STLTECH,2018-04-06 18:51:00,2018-04-04,2018-04-02,2018-04-02,Employees/Designated Employees,Market Sale,Sell,Equity Shares,10000.0,0.0,0.0,0.0,0.0,54620.0,0.01,44620.0,0.01
