date,index,growth_rate_pct
2026-06-01,123.1,7.3
2026-05-01,122.5,5.0
2026-04-01,118.2,4.9
2026-03-01,129.7,3.0
2026-03-01,173.2,4.1
2026-02-01,117.9,4.4
2026-02-01,158.8,5.1
2026-01-01,123.0,4.1
2026-01-01,169.9,5.1
2025-12-01,123.5,6.7
2025-12-01,170.7,8.0
2025-11-01,158.7,7.2
2025-11-01,114.6,7.0
2025-10-01,151.1,0.5
2025-10-01,111.6,-0.9
2025-09-01,153.7,4.6
2025-09-01,116.5,6.1
2025-08-01,151.7,4.0
2025-08-01,114.2,4.7
2025-07-01,117.0,5.4
2025-07-01,156.2,4.3
2025-06-01,153.3,1.5
2025-06-01,114.7,2.2
2025-05-01,157.6,1.9
2025-05-01,116.7,3.4
2025-04-01,112.7,4.8
2025-04-01,151.8,2.6
2025-03-01,166.3,3.9
2025-03-01,125.9,5.8
2025-02-01,112.9,2.9
2025-02-01,151.1,2.7
2025-01-01,118.1,6.3
2025-01-01,161.6,5.2
2024-12-01,115.7,6.1
2024-12-01,158.0,3.7
2024-11-01,107.1,5.9
2024-11-01,148.1,5.0
2024-10-01,112.6,5.6
2024-10-01,150.3,3.7
2024-09-01,109.8,4.7
2024-09-01,146.9,3.2
2024-08-01,145.8,0.0
2024-08-01,109.1,2.1
2024-07-01,111.0,7.8
2024-07-01,149.8,5.0
2024-06-01,112.2,7.3
2024-06-01,151.0,4.9
2024-05-01,154.7,6.3
2024-05-01,112.9,7.3
2024-04-01,107.5,7.1
2024-04-01,148.0,5.2
2024-03-01,119.0,19.0
2024-03-01,160.0,5.5
2024-02-01,147.1,5.6
2024-02-01,109.7,9.7
2024-01-01,153.6,4.2
2024-01-01,111.1,11.1
2023-12-01,152.3,4.4
2023-12-01,109.0,9.0
2023-11-01,141.1,2.5
2023-11-01,101.1,1.1
2023-10-01,144.9,11.9
2023-10-01,106.6,6.6
2023-09-01,142.3,6.4
2023-09-01,104.9,4.9
2023-08-01,106.9,6.9
2023-08-01,145.8,10.9
2023-07-01,142.7,6.2
2023-07-01,103.0,3.0
2023-06-01,143.9,4.0
2023-06-01,104.6,4.6
2023-05-01,105.2,5.2
2023-05-01,145.6,5.7
2023-04-01,140.7,4.6
2023-04-01,100.4,0.4
2023-03-01,151.7,1.9
2023-02-01,139.3,6.0
2023-01-01,147.4,5.8
2022-12-01,145.9,5.1
2022-11-01,137.7,7.6
2022-10-01,129.5,-4.1
2022-09-01,133.8,3.3
2022-08-01,131.5,-0.7
2022-07-01,134.4,2.2
2022-06-01,138.3,12.6
2022-05-01,137.8,19.7
2022-04-01,134.5,6.7
2022-03-01,148.8,2.2
2022-02-01,131.4,1.2
2022-01-01,139.3,2.0
2021-12-01,138.8,1.0
2021-11-01,128.0,1.0
2021-10-01,135.0,4.2
2021-09-01,129.5,4.4
2021-08-01,132.4,13.0
2021-07-01,131.5,11.5
2021-06-01,122.8,13.8
2021-05-01,115.1,27.6
2021-04-01,126.1,
2021-03-01,145.6,24.2
2021-02-01,129.9,-3.2
2021-01-01,136.6,-0.6
2020-12-01,137.4,2.2
2020-11-01,126.7,-1.6
2020-10-01,129.6,4.5
2020-09-01,124.1,1.0
2020-08-01,117.2,-7.1
2020-07-01,117.9,-10.5
2020-06-01,107.9,-16.6
2020-05-01,90.2,-33.4
2020-04-01,54.0,-57.3
2020-03-01,117.2,-18.7
2020-02-01,134.2,5.2
2020-01-01,137.4,2.2
2019-12-01,134.5,0.4
2019-11-01,128.8,2.1
2019-10-01,124.0,-6.6
2019-09-01,122.9,-4.6
2019-08-01,126.2,-1.4
2019-07-01,131.8,4.9
2019-06-01,129.3,1.3
2019-05-01,135.4,4.5
2019-04-01,126.5,3.2
2019-03-01,144.1,2.7
2019-02-01,127.6,0.2
2019-01-01,134.4,1.6
2018-12-01,133.9,2.5
2018-11-01,126.1,0.2
2018-10-01,132.8,8.4
2018-09-01,128.8,4.6
2018-08-01,128.0,4.8
2018-07-01,125.7,6.5
2018-06-01,127.7,7.0
2018-05-01,129.6,3.8
2018-04-01,122.6,4.5
2018-03-01,140.3,5.3
2018-02-01,127.4,6.9
2018-01-01,132.3,7.5
2017-12-01,130.6,7.3
2017-11-01,125.8,8.5
2017-10-01,122.5,1.8
2017-09-01,123.1,4.1
2017-08-01,122.1,4.8
2017-07-01,118.0,1.0
2017-06-01,119.3,-0.3
2017-05-01,124.8,2.9
2017-04-01,117.3,3.2
2017-03-01,133.2,4.4
2017-03-01,205.3,3.3
2017-02-01,182.3,-1.2
2017-02-01,119.2,1.2
2017-01-01,123.1,3.5
2017-01-01,192.5,3.4
2016-12-01,184.0,-0.1
2016-12-01,121.7,2.4
2016-11-01,115.9,5.1
2016-11-01,175.6,5.6
2016-10-01,120.3,4.2
2016-10-01,178.0,-1.9
2016-09-01,118.2,5.0
2016-09-01,179.5,0.7
2016-08-01,116.5,4.0
2016-08-01,175.3,-0.7
2016-07-01,116.8,4.5
2016-07-01,175.9,-2.5
2016-06-01,119.7,8.0
2016-06-01,183.2,2.2
2016-05-01,182.0,1.3
2016-05-01,121.3,7.3
2016-04-01,113.7,6.0
2016-04-01,175.5,-1.3
2016-03-01,127.6,5.2
2016-03-01,198.7,0.3
2016-02-01,117.8,7.2
2016-02-01,184.5,1.9
2016-01-01,118.9,4.0
2016-01-01,186.2,-1.6
2015-12-01,118.9,3.1
2015-12-01,184.2,-0.9
2015-11-01,110.3,0.8
2015-11-01,166.3,-3.4
2015-10-01,115.5,9.0
2015-10-01,181.4,9.9
2015-09-01,112.6,2.2
2015-09-01,178.2,3.7
2015-08-01,112.0,3.7
2015-08-01,176.6,6.3
2015-07-01,111.8,1.3
2015-07-01,180.5,4.3
2015-06-01,110.8,1.0
2015-06-01,179.3,4.2
2015-05-01,113.0,1.8
2015-05-01,179.7,2.5
2015-04-01,107.3,0.7
2015-04-01,177.9,3.0
2015-03-01,121.3,2.4
2015-03-01,198.1,2.5
2015-02-01,181.0,4.8
2015-02-01,109.9,3.0
2015-01-01,114.3,1.8
2015-01-01,114.3,1.8
2014-12-01,115.3,4.0
2014-12-01,185.9,3.6
2014-11-01,172.1,5.2
2014-11-01,109.4,7.4
2014-10-01,106.0,0.3
2014-10-01,165.1,-2.7
2014-09-01,110.2,4.3
2014-09-01,171.8,2.6
2014-08-01,166.2,0.5
2014-08-01,108.0,3.5
2014-07-01,173.0,0.9
2014-07-01,110.4,5.4
2014-06-01,172.0,4.3
2014-06-01,109.7,8.3
2014-05-01,111.0,4.7
2014-05-01,175.3,5.6
2014-04-01,172.7,3.7
2014-04-01,106.6,3.9
2014-03-01,193.3,-0.5
2014-03-01,118.5,2.9
2014-02-01,172.7,-2.0
2014-02-01,106.7,5.2
2014-01-01,112.3,4.8
2014-01-01,184.0,1.1
2013-12-01,179.5,0.1
2013-12-01,110.9,3.5
2013-11-01,101.9,3.7
2013-11-01,163.6,-1.3
2013-10-01,105.7,1.9
2013-10-01,169.6,-1.2
2013-09-01,167.5,2.7
2013-09-01,105.7,6.8
2013-08-01,104.3,4.4
2013-08-01,165.4,0.4
2013-07-01,171.4,2.6
2013-07-01,104.7,3.2
2013-06-01,101.3,-1.0
2013-06-01,164.9,-1.8
2013-05-01,106.0,1.0
2013-05-01,166.0,-2.5
2013-04-01,102.6,3.3
2013-04-01,166.5,1.5
2013-03-01,115.2,15.2
2013-03-01,194.2,3.5
2013-02-01,101.4,1.4
2013-02-01,176.2,0.6
2013-01-01,107.2,7.2
2013-01-01,182.0,2.5
2012-12-01,179.3,-0.6
2012-12-01,107.1,7.1
2012-11-01,98.3,-1.7
2012-11-01,165.8,-1.0
2012-10-01,103.7,3.7
2012-10-01,171.6,8.4
2012-09-01,99.0,-1.0
2012-09-01,163.1,-0.7
2012-08-01,164.7,2.0
2012-08-01,99.9,-0.1
2012-07-01,167.1,-0.1
2012-07-01,101.5,1.5
2012-06-01,168.0,-2.0
2012-06-01,102.3,2.3
2012-05-01,105.0,5.0
2012-05-01,170.3,2.5
2012-04-01,164.1,-1.3
2012-04-01,99.3,-0.7
2012-03-01,187.6,-2.8
2012-02-01,175.2,4.3
2012-01-01,177.6,1.0
2011-12-01,180.3,2.7
2011-11-01,167.5,6.0
2011-10-01,158.3,-5.0
2011-09-01,164.3,2.5
2011-08-01,161.4,3.4
2011-07-01,167.2,3.7
2011-06-01,340.0,4.3
2011-06-01,171.4,9.5
2011-05-01,335.0,3.4
2011-05-01,166.2,6.2
2011-04-01,166.2,5.3
2011-04-01,338.1,4.4
2011-03-01,402.8,7.8
2011-03-01,193.1,9.4
2011-02-01,343.2,3.7
2011-02-01,168.0,6.7
2011-01-01,175.9,7.5
2011-01-01,361.2,4.0
2010-12-01,175.6,8.1
2010-12-01,357.2,2.6
2010-11-01,158.0,6.4
2010-11-01,320.7,3.6
2010-10-01,335.4,12.1
2010-10-01,166.6,11.4
2010-09-01,160.3,6.2
2010-09-01,327.3,4.9
2010-08-01,324.3,7.3
2010-08-01,156.1,4.5
2010-07-01,346.3,15.1
2010-07-01,161.3,10.0
2010-06-01,325.9,7.2
2010-06-01,156.6,7.5
2010-05-01,156.5,8.5
2010-05-01,323.9,12.2
2010-04-01,323.9,16.6
2010-04-01,157.8,13.0
2010-03-01,176.5,15.0
2010-03-01,373.8,15.5
2010-02-01,157.5,13.7
2010-02-01,331.1,15.1
2010-01-01,163.6,13.3
2010-01-01,347.2,16.8
2009-12-01,162.4,9.5
2009-12-01,348.2,18.0
2009-11-01,148.5,6.3
2009-11-01,309.5,11.3
2009-10-01,149.6,2.3
2009-10-01,299.3,10.1
2009-09-01,312.0,8.2
2009-09-01,151.0,1.6
2009-08-01,302.1,10.5
2009-08-01,149.4,5.3
2009-07-01,146.7,1.7
2009-07-01,300.9,7.2
2009-06-01,304.1,8.6
2009-06-01,145.7,-1.8
2009-05-01,144.3,-1.6
2009-05-01,288.7,1.7
2009-04-01,277.7,1.6
2009-04-01,139.6,-1.9
2009-03-01,323.5,0.9
2009-03-01,153.5,-5.2
2009-02-01,287.6,0.2
2009-02-01,138.5,-7.2
2009-01-01,297.3,1.9
2009-01-01,144.4,-5.3
2008-12-01,295.2,0.5
2008-12-01,148.3,-1.6
2008-11-01,139.7,1.3
2008-11-01,278.0,3.7
2008-10-01,146.2,3.9
2008-10-01,271.8,0.3
2008-09-01,288.3,7.0
2008-09-01,148.6,10.9
2008-08-01,273.4,1.9
2008-08-01,141.9,5.4
2008-07-01,280.6,6.9
2008-07-01,144.3,5.6
2008-06-01,148.4,8.6
2008-06-01,280.0,6.8
2008-05-01,283.9,4.4
2008-05-01,146.7,7.2
2008-04-01,142.3,11.0
2008-04-01,273.2,5.8
2008-03-01,161.9,11.7
2008-03-01,320.7,5.4
2008-02-01,149.3,16.8
2008-02-01,287.0,9.9
2008-01-01,291.7,6.2
2008-01-01,152.5,13.0
2007-12-01,150.7,13.5
2007-12-01,293.7,7.6
2007-11-01,268.2,4.7
2007-11-01,137.9,9.9
2007-10-01,140.7,19.5
2007-10-01,270.9,11.9
2007-09-01,269.4,7.4
2007-09-01,134.0,13.4
2007-08-01,134.6,17.8
2007-08-01,268.4,11.0
